condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_right,common/white.png,0,0,0,0,3,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
imag_third,common/white.png,270,0,1,1,4,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_right,common/red.png,0,0,2,2,1,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_left,common/white.png,180,0,3,3,2,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_left,common/red.png,180,0,4,4,0,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_left,common/white.png,180,1,0,5,2,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_right,common/white.png,0,1,1,6,3,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
imag_third,common/white.png,270,1,2,7,4,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_left,common/red.png,180,1,3,8,0,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_right,common/red.png,0,1,4,9,1,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_right,common/red.png,0,2,0,10,1,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
imag_third,common/white.png,270,2,1,11,4,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_left,common/red.png,180,2,2,12,0,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_right,common/white.png,0,2,3,13,3,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_left,common/white.png,180,2,4,14,2,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_left,common/white.png,180,3,0,15,2,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_right,common/red.png,0,3,1,16,1,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_left,common/red.png,180,3,2,17,0,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_right,common/white.png,0,3,3,18,3,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
imag_third,common/white.png,270,3,4,19,4,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
imag_third,common/white.png,270,4,0,20,4,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_right,common/red.png,0,4,1,21,1,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
exec_left,common/red.png,180,4,2,22,0,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_left,common/white.png,180,4,3,23,2,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
img_right,common/white.png,0,4,4,24,3,2018_Sep_25_1510,59.94614626111294,Real/Imagery motor movement,1,1,
