condition,img,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/recall_cross_IL.png,0,0,0,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,0,1,1,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,0,2,2,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,0,3,3,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,0,4,4,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,1,0,5,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,1,1,6,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,1,2,7,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,1,3,8,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,1,4,9,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,2,0,10,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,2,1,11,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,2,2,12,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,2,3,13,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,2,4,14,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,3,0,15,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,3,1,16,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,3,2,17,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,3,3,18,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,3,4,19,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,4,0,20,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,4,1,21,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,4,2,22,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,4,3,23,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,4,4,24,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,5,0,25,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,5,1,26,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,5,2,27,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,5,3,28,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,5,4,29,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,6,0,30,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,6,1,31,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,6,2,32,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,6,3,33,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,6,4,34,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,7,0,35,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,7,1,36,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,7,2,37,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,7,3,38,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,7,4,39,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,8,0,40,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,8,1,41,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,8,2,42,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_left,common/recall_cross_EL.png,8,3,43,0,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_right,common/recall_cross_IR.png,8,4,44,3,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
img_left,common/recall_cross_IL.png,9,0,45,2,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
exec_right,common/recall_cross_ER.png,9,1,46,1,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
imag_third,common/recall_cross_IT.png,9,2,47,4,2018_Oct_01_1901,60.00070496625731,Real/Imagery motor movement,1,17,
