condition,img,ori,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,Session,Participant,
img_left,common/white.png,180,0,0,0,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,0,1,1,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,0,2,2,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,0,3,3,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,0,4,4,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,1,0,5,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,1,1,6,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,1,2,7,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,1,3,8,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,1,4,9,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,2,0,10,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,2,1,11,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,2,2,12,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,2,3,13,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,2,4,14,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,3,0,15,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,3,1,16,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,3,2,17,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,3,3,18,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,3,4,19,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,4,0,20,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,4,1,21,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,4,2,22,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,4,3,23,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,4,4,24,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,5,0,25,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,5,1,26,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,5,2,27,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,5,3,28,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,5,4,29,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,6,0,30,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,6,1,31,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_right,common/white.png,0,6,2,32,3,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,6,3,33,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_left,common/red.png,180,6,4,34,0,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
exec_right,common/red.png,0,7,0,35,1,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
img_left,common/white.png,180,7,1,36,2,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
imag_third,common/white.png,270,7,2,37,4,2018_Sep_28_1533,60.000896010889754,Real/Imagery motor movement,1,5,
