Latency,Type,Epoch,Position
110483.00739812544,RS,1,0
110487.0042095441,EL,1,1
110490.00680913133,RS,1,2
110494.00761336858,IT,1,3
110490.00680913133,RS,1,4
110501.00702437447,ER,1,5
110490.00680913133,RS,1,6
110508.00643538036,IL,1,7
110490.00680913133,RS,1,8
110515.00584638627,IR,1,9
110518.00445315489,RS,2,0
110522.00525739216,IL,2,1
110525.00785697938,RS,2,2
110529.00466839805,EL,2,3
110525.00785697938,RS,2,4
110536.00407940394,ER,2,5
110525.00785697938,RS,2,6
110543.00748322842,IT,2,7
110525.00785697938,RS,2,8
110550.0068942343,IR,2,9
110553.00550100295,RS,3,0
110557.0063052402,IL,3,1
110560.00491200884,RS,3,2
110564.00571624609,IR,3,3
110560.00491200884,RS,3,4
110571.00512725199,ER,3,5
110560.00491200884,RS,3,6
110578.00453825788,IT,3,7
110560.00491200884,RS,3,8
110585.00794208236,EL,3,9
110588.006548851,RS,4,0
110592.00735308825,IR,4,1
110595.00595985689,RS,4,2
110599.00676409414,EL,4,3
110595.00595985689,RS,4,4
110606.00617510003,ER,4,5
110595.00595985689,RS,4,6
110613.00558610592,IL,4,7
110595.00595985689,RS,4,8
110620.00499711181,IT,4,9
110623.00759669906,RS,5,0
110627.0044081177,ER,5,1
110630.00700770495,RS,5,2
110634.0078119422,IR,5,3
110630.00700770495,RS,5,4
110641.00722294809,EL,5,5
110630.00700770495,RS,5,6
110648.00663395398,IL,5,7
110630.00700770495,RS,5,8
110655.00604495987,IT,5,9
110658.00465172851,RS,6,0
110662.00545596576,IT,6,1
110665.0040627344,RS,6,2
110669.00486697165,ER,6,3
110665.0040627344,RS,6,4
110676.00427797754,IL,6,5
110665.0040627344,RS,6,6
110683.00768180203,EL,6,7
110665.0040627344,RS,6,8
110690.00709280792,IR,6,9
110693.00569957656,RS,7,0
110697.00650381381,IT,7,1
110700.00511058245,RS,7,2
110704.0059148197,IR,7,3
110700.00511058245,RS,7,4
110711.0053258256,EL,7,5
110700.00511058245,RS,7,6
110718.00473683148,IL,7,7
110700.00511058245,RS,7,8
110725.00414783738,ER,7,9
110728.00674742462,RS,8,0
110732.00755166187,IL,8,1
110735.00615843051,RS,8,2
110739.00696266776,EL,8,3
110735.00615843051,RS,8,4
110746.00637367365,ER,8,5
110735.00615843051,RS,8,6
110753.00578467954,IR,8,7
110735.00615843051,RS,8,8
110760.00519568543,IT,8,9
110763.00779527267,RS,9,0
110767.00460669132,IT,9,1
110770.00720627856,RS,9,2
110774.00401769721,ER,9,3
110770.00720627856,RS,9,4
110781.0074215217,IL,9,5
110770.00720627856,RS,9,6
110788.0068325276,EL,9,7
110770.00720627856,RS,9,8
110795.00624353348,IR,9,9
110798.00485030212,RS,10,0
110802.00565453937,IL,10,1
110805.00426130801,RS,10,2
110809.00506554527,IT,10,3
110805.00426130801,RS,10,4
